n	v_eff	rho
1025 3650.03 3.98741
1026 3650.02 3.98738
1027 3649.97 3.98734
1028 3649.87 3.98727
1029 3649.72 3.98718
1030 3649.51 3.98706
1031 3649.25 3.98693
1032 3648.94 3.98677
1033 3648.59 3.98659
1034 3648.18 3.98638
1035 3647.71 3.98616
1036 3647.2 3.98591
1037 3646.63 3.98564
1038 3646.02 3.98534
1039 3645.35 3.98502
1040 3644.63 3.98468
1041 3643.86 3.98432
1042 3643.04 3.98394
1043 3642.16 3.98353
1044 3641.24 3.9831
1045 3640.26 3.98264
1046 3639.23 3.98217
1047 3638.14 3.98167
1048 3637.01 3.98115
1049 3635.82 3.9806
1050 3634.58 3.98004
1051 3633.28 3.97945
1052 3631.94 3.97883
1053 3630.54 3.9782
1054 3629.09 3.97754
1055 3627.58 3.97686
1056 3626.02 3.97615
1057 3624.41 3.97542
1058 3622.74 3.97467
1059 3621.02 3.9739
1060 3619.25 3.9731
1061 3617.42 3.97229
1062 3615.54 3.97144
1063 3613.6 3.97058
1064 3611.61 3.96969
1065 3609.56 3.96878
1066 3607.46 3.96784
1067 3605.3 3.96689
1068 3603.08 3.96591
1069 3600.81 3.9649
1070 3598.49 3.96388
1071 3596.11 3.96283
1072 3593.67 3.96175
1073 3591.17 3.96066
1074 3588.62 3.95954
1075 3586.01 3.95839
1076 3583.34 3.95723
1077 3580.62 3.95604
1078 3577.83 3.95482
1079 3574.99 3.95359
1080 3572.09 3.95233
1081 3569.13 3.95104
1082 3566.11 3.94974
1083 3563.03 3.9484
1084 3559.9 3.94705
1085 3556.7 3.94567
1086 3553.44 3.94427
1087 3550.12 3.94284
1088 3546.74 3.9414
1089 3543.29 3.93992
1090 3539.79 3.93843
1091 3536.22 3.9369
1092 3532.59 3.93536
1093 3528.9 3.93379
1094 3525.14 3.9322
1095 3521.32 3.93058
1096 3517.44 3.92894
1097 3513.49 3.92728
1098 3509.48 3.92559
1099 3505.4 3.92388
1100 3501.25 3.92214
1101 3497.04 3.92038
1102 3492.76 3.91859
1103 3488.42 3.91678
1104 3484.01 3.91495
1105 3479.53 3.91309
1106 3474.98 3.91121
1107 3470.36 3.9093
1108 3465.67 3.90737
1109 3460.92 3.90541
1110 3456.09 3.90343
1111 3451.19 3.90142
1112 3446.22 3.89939
1113 3441.18 3.89733
1114 3436.07 3.89525
1115 3430.88 3.89314
1116 3425.62 3.89101
1117 3420.29 3.88886
1118 3414.88 3.88668
1119 3409.39 3.88447
1120 3403.83 3.88224
1121 3398.2 3.87998
1122 3392.48 3.8777
1123 3386.69 3.87539
1124 3380.83 3.87306
1125 3374.88 3.8707
1126 3368.85 3.86832
1127 3362.75 3.86591
1128 3356.56 3.86347
1129 3350.29 3.86101
1130 3343.94 3.85852
1131 3337.51 3.85601
1132 3331 3.85347
1133 3324.4 3.8509
1134 3317.71 3.84831
1135 3310.95 3.8457
1136 3304.09 3.84305
1137 3297.15 3.84038
1138 3290.12 3.83769
1139 3283 3.83496
1140 3275.8 3.83222
1141 3268.5 3.82944
1142 3261.12 3.82664
1143 3253.64 3.82381
1144 3246.07 3.82095
1145 3238.41 3.81807
1146 3230.66 3.81516
1147 3222.81 3.81222
1148 3214.87 3.80926
1149 3206.83 3.80627
1150 3198.69 3.80325
1151 3190.46 3.80021
1152 3182.12 3.79713
1153 3173.69 3.79403
1154 3165.16 3.79091
1155 3156.53 3.78775
1156 3147.79 3.78457
1157 3138.96 3.78136
1158 3130.01 3.77812
1159 3120.97 3.77485
1160 3111.82 3.77155
1161 3102.56 3.76823
1162 3093.19 3.76488
1163 3083.72 3.7615
