n	v_eff	rho
705 4920.3 6.06491
706 4919.42 6.06817
707 4918.53 6.07143
708 4917.64 6.0747
709 4916.74 6.07796
710 4915.84 6.08123
711 4914.93 6.08451
712 4914.02 6.08778
713 4913.11 6.09106
714 4912.19 6.09434
715 4911.27 6.09763
716 4910.34 6.10091
717 4909.41 6.1042
718 4908.47 6.10749
719 4907.53 6.11079
720 4906.58 6.11409
721 4905.63 6.11739
722 4904.68 6.12069
723 4903.72 6.124
724 4902.76 6.12731
725 4901.79 6.13062
726 4900.82 6.13394
727 4899.84 6.13726
728 4898.86 6.14058
729 4897.88 6.1439
730 4896.89 6.14723
731 4895.89 6.15056
732 4894.89 6.1539
733 4893.89 6.15723
734 4892.89 6.16057
735 4891.87 6.16391
736 4890.86 6.16726
737 4889.84 6.17061
738 4888.81 6.17396
739 4887.79 6.17732
740 4886.75 6.18067
741 4885.71 6.18404
742 4884.67 6.1874
743 4883.63 6.19077
744 4882.58 6.19414
745 4881.52 6.19751
746 4880.46 6.20089
747 4879.4 6.20427
748 4878.33 6.20765
749 4877.26 6.21104
750 4876.18 6.21443
751 4875.1 6.21782
752 4874.01 6.22121
753 4872.93 6.22461
754 4871.83 6.22802
755 4870.73 6.23142
756 4869.63 6.23483
757 4868.52 6.23824
758 4867.41 6.24166
759 4866.3 6.24508
760 4865.18 6.2485
761 4864.05 6.25192
762 4862.92 6.25535
763 4861.79 6.25878
764 4860.65 6.26222
765 4859.51 6.26566
766 4858.37 6.2691
767 4857.21 6.27254
768 4856.06 6.27599
769 4854.9 6.27944
770 4853.74 6.2829
771 4852.57 6.28636
772 4851.4 6.28982
773 4850.22 6.29328
774 4849.04 6.29675
775 4847.86 6.30022
776 4846.67 6.3037
777 4845.48 6.30718
778 4844.28 6.31066
779 4843.08 6.31415
780 4841.87 6.31764
781 4840.66 6.32113
782 4839.44 6.32463
783 4838.23 6.32813
784 4837 6.33163
785 4835.77 6.33514
786 4834.54 6.33865
787 4833.31 6.34216
788 4832.07 6.34568
789 4830.82 6.3492
790 4829.57 6.35272
791 4828.32 6.35625
792 4827.06 6.35978
793 4825.8 6.36332
794 4824.53 6.36686
795 4823.26 6.3704
796 4821.99 6.37395
797 4820.71 6.37749
798 4819.43 6.38105
799 4818.14 6.3846
800 4816.85 6.38817
801 4815.55 6.39173
802 4814.25 6.3953
803 4812.95 6.39887
804 4811.64 6.40244
805 4810.33 6.40602
806 4809.01 6.4096
807 4807.69 6.41319
808 4806.36 6.41678
809 4805.03 6.42037
810 4803.7 6.42397
811 4802.36 6.42757
812 4801.02 6.43118
813 4799.67 6.43479
814 4798.32 6.4384
815 4796.97 6.44201
816 4795.61 6.44563
817 4794.24 6.44926
818 4792.87 6.45288
819 4791.5 6.45652
820 4790.13 6.46015
821 4788.75 6.46379
822 4787.36 6.46743
823 4785.97 6.47108
824 4784.58 6.47473
825 4783.18 6.47838
826 4781.78 6.48204
827 4780.38 6.4857
828 4778.97 6.48937
829 4777.55 6.49304
830 4776.13 6.49671
831 4774.71 6.50039
832 4773.29 6.50407
833 4771.85 6.50775
834 4770.42 6.51144
835 4768.98 6.51513
836 4767.54 6.51883
837 4766.09 6.52253
838 4764.64 6.52624
839 4763.18 6.52994
840 4761.72 6.53366
841 4760.26 6.53737
842 4758.79 6.54109
843 4757.32 6.54482
844 4755.84 6.54854
845 4754.36 6.55228
846 4752.88 6.55601
847 4751.39 6.55975
848 4749.9 6.5635
849 4748.4 6.56724
850 4746.9 6.571
851 4745.39 6.57475
852 4743.88 6.57851
853 4742.37 6.58228
854 4740.85 6.58605
855 4739.33 6.58982
856 4737.8 6.59359
857 4736.27 6.59737
858 4734.74 6.60116
859 4733.2 6.60495
860 4731.66 6.60874
861 4730.11 6.61254
